rt_name,foldability_score,foldability_confidence,foldability_failure_reason,foldability_plddt_mean,foldability_plddt_core,foldability_high_conf_frac,foldability_low_conf_frac,foldability_longest_conf_segment,foldability_contact_density,foldability_thermo_37,foldability_solubility,foldability_instability,fusion_compat_score,fusion_compat_confidence,fusion_compat_failure_reason,fusion_compat_clash_score,fusion_compat_alignment_quality,fusion_compat_active_site_access,fusion_compat_linker_feasibility,fusion_compat_size_penalty,fusion_compat_terminal_accessibility,fusion_compat_core_compactness,fusion_compat_fusion_readiness,substrate_binding_score,substrate_binding_confidence,substrate_binding_failure_reason,substrate_binding_path_detected,substrate_binding_path_positive_continuity,substrate_binding_path_openness,substrate_binding_path_extension,substrate_binding_catalytic_accessibility,substrate_binding_steric_crowding_penalty,substrate_binding_hydrophobic_interrupt,substrate_binding_track_to_thumb,catalytic_score,catalytic_confidence,catalytic_failure_reason,catalytic_acidic_cluster_detected,catalytic_acidic_cluster_compactness,catalytic_acidic_cluster_exposure,catalytic_catalytic_neighborhood,catalytic_motif_context,catalytic_esm_if_quality,processivity_score,processivity_confidence,processivity_failure_reason,processivity_track_detected,processivity_path_positive_density,processivity_path_extension,processivity_path_catalytic_proximity,processivity_structural_sim,processivity_thumb_support,processivity_path_openness,processivity_steric_crowding_penalty,processivity_hydrophobic_interrupt
A.platensis-Cas1-RT,0.0008619333930501357,1.0,Low global pLDDT,0.009122302158273381,0.009268067226890754,0.0,0.0,0.0,0.656442816251378,0.85365,0.5689332093695465,0.4587977796306609,0.31271910930740876,0.5649400462984603,Likely steric incompatibility with Cas9 context,0.08330494315920789,0.12694930639557458,0.6726040107590365,0.47471967370494433,1.0,0.5887694061272175,0.5,0.46020686803923,0.6923879965146283,0.8555298632146775,,1.0,0.8115326747861805,0.6582237290802306,0.4510806916968546,0.7439438274128273,0.7448684956686834,0.9037844582893072,0.29268483535281403,0.8222897168481887,1.0,,1.0,1.0,0.5962207137466882,0.9497420920771945,0.5423308290146092,0.8127534223932048,0.5647399097277114,0.5907080165628286,No confident processive contact path,0.35,0.8115326747861805,0.4510806916968546,0.9611120184364611,0.5,0.3098793847469698,0.6582237290802306,0.7448684956686834,0.9037844582893072
CRISPRRT2-RT,0.0007500335561527124,1.0,Low global pLDDT,0.009166457680250782,0.009319354838709677,0.0,0.0,0.0,0.6388861334915511,0.1671,0.6303596444943332,0.7388741998015746,0.3716237227353362,0.5453256330010817,Likely steric incompatibility with Cas9 context,0.2672982645025687,0.1422766438044773,0.6393467369797712,0.14636446338630377,1.0,0.8665791930827268,0.5,0.3996791512200783,0.63609881868421,0.8169020839859058,,1.0,0.8765329524347759,0.8556308711366506,0.19887324238854392,0.5600888444449346,0.8621583430350643,0.9037844582893072,0.3599581625410504,0.8058429524518969,1.0,,1.0,1.0,0.6899744811276124,0.7791621283229098,0.41151908741475385,0.97094003720001,0.507705594596222,0.5533141090938185,No confident processive contact path,0.35,0.8765329524347759,0.19887324238854392,0.7918990010536537,0.5,0.3894995688136953,0.8556308711366506,0.8621583430350643,0.9037844582893072
FuRT-Cas1-RT,0.000841968503239364,1.0,Low global pLDDT,0.009632499999999999,0.009725000000000001,0.0,0.0,0.0,0.641834045088731,0.54425,0.7337979282524816,0.38502066281625086,0.2705534369870243,0.45082422059859445,Likely steric incompatibility with Cas9 context,0.09202124440450293,0.10405958097860762,0.3952125848618693,0.39520198485502855,1.0,0.6469145322453063,0.5,0.30402471655390095,0.627346851974511,0.9302475465287413,,1.0,0.9957644603591566,0.6435686817487921,0.14817632352290294,0.7896126058831244,0.8175744761936437,0.9037844582893072,0.27911405444066395,0.710695191224336,1.0,,1.0,1.0,0.6461206356285277,0.8761865152754558,0.15,0.6837890731149445,0.4863980339279489,0.5327705016867963,No confident processive contact path,0.35,0.9957644603591566,0.14817632352290294,0.9780180084044635,0.5,0.34537983810846473,0.6435686817487921,0.8175744761936437,0.9037844582893072
Med-CasRT,0.0005901585640056853,1.0,Low global pLDDT,0.008797749196141479,0.009031734317343172,0.0,0.0,0.0,0.6258536328088226,0.017705,0.7790231813106007,0.5110753584939394,0.2365258994974795,0.5451411580528135,Likely steric incompatibility with Cas9 context,0.02058074787206201,0.13441086485126652,0.535498628882771,0.810051352472765,1.0,0.9558411657064522,0.5,0.5106551384772164,0.6545102531704293,0.6697140493819125,,1.0,0.4650570548417856,0.7823873297072141,0.7011851259831142,0.5186784817179451,0.8175744761936437,0.9037844582893072,0.5811364161658438,0.765091988221014,1.0,,1.0,1.0,0.8912165801050141,0.5122459331201855,0.5307902351378996,0.6212838497778467,0.6472365940927054,0.8264202802904095,,1.0,0.4650570548417856,0.7011851259831142,0.6475476630699932,0.5,0.49767770612646844,0.7823873297072141,0.8175744761936437,0.9037844582893072
ROSE-CRISPR-RT,0.0007368773305026655,1.0,Low global pLDDT,0.008078699551569505,0.007980295566502463,0.0,0.0,0.0,0.6059914514454416,0.2519,0.7674303542657058,0.40643517855872824,0.34832398660883773,0.4471251338477039,Likely steric incompatibility with Cas9 context,0.1441316099580324,0.15978888380150064,0.3562593337401319,1.0,1.0,0.7766567646377963,0.5,0.27245231784918306,0.6772443574756618,0.8988172646215192,,1.0,0.9579794147448828,0.8134396717645233,0.21170606506316234,0.7306890917828686,0.8621583430350643,0.9037844582893072,0.32315047534735425,0.7299876530565053,1.0,,1.0,1.0,0.6739976220871791,0.9241418199787566,0.15,0.7383629742281128,0.5312831926240065,0.5611739927194878,No confident processive contact path,0.35,0.9579794147448828,0.21170606506316234,0.8938415596898124,0.5,0.41294313210370437,0.8134396717645233,0.8621583430350643,0.9037844582893072
Er-RT,0.0007510405796453744,1.0,Low global pLDDT,0.008649530516431926,0.008642487046632124,0.0,0.0,0.0,0.6727517375193818,0.17975,0.7084334825823263,0.7646180054483351,0.320417189659501,0.4323590558082884,Likely steric incompatibility with Cas9 context,0.309080343154965,0.1918940743675646,0.4177437342831889,0.16278524651411072,1.0,0.42081666989124156,0.5,0.11979841458240002,0.6382482123598415,0.896169237475857,,1.0,0.8765329524347759,0.6589343067776218,0.19584276716531898,0.8039877782601688,0.7310585786300049,0.9037844582893072,0.3286166810855577,0.841398699406965,1.0,,1.0,1.0,0.7609964331307685,0.8761865152754558,0.4,1.0,0.4988867668758027,0.5408561295171287,No confident processive contact path,0.35,0.8765329524347759,0.19584276716531898,0.9985539689430983,0.5,0.3350316767598904,0.6589343067776218,0.7310585786300049,0.9037844582893072
GroupII_CLA-RT,0.0007546217332338324,1.0,Low global pLDDT,0.009156535947712418,0.009365413533834587,0.0,0.0,0.0,0.6687671585769396,0.1978,0.7250662758276039,0.4041492725057777,0.18390227194012723,0.49229756814587755,Likely steric incompatibility with Cas9 context,0.012740543134289855,0.1305030669407005,0.5127660933899856,0.4604350447194364,1.0,0.7359761150409981,0.5,0.32592111225282394,0.666994092440882,0.8114028477236159,,1.0,0.9346246665744273,0.8264298009883346,0.36866265495000694,0.485076403344391,0.8455347349164654,0.6547534606063192,0.33236135595726124,0.693472176476243,0.7725,Catalytic cluster geometry not convincing,0.3,1.0,0.7685247834990175,0.8139849721275887,0.4000000072630264,1.0,0.5582641616822732,0.5990675448624643,No confident processive contact path,0.35,0.9346246665744273,0.36866265495000694,0.6929662853041112,0.5,0.430879859799828,0.8264298009883346,0.8455347349164654,0.6547534606063192
Gs-RT,0.000873832552970247,1.0,Low global pLDDT,0.008649530516431926,0.008642487046632124,0.0,0.0,0.0,0.6727517375193818,0.9183,0.7891732213261415,0.485809301322863,0.320417189659501,0.4323590558082884,Likely steric incompatibility with Cas9 context,0.309080343154965,0.1918940743675646,0.4177437342831889,0.16278524651411072,1.0,0.42081666989124156,0.5,0.11979841458240002,0.6382482123598415,0.896169237475857,,1.0,0.8765329524347759,0.6589343067776218,0.19584276716531898,0.8039877782601688,0.7310585786300049,0.9037844582893072,0.3286166810855577,0.841398699406965,1.0,,1.0,1.0,0.7609964331307685,0.8761865152754558,0.4,1.0,0.4988867668758027,0.5408561295171287,No confident processive contact path,0.35,0.8765329524347759,0.19584276716531898,0.9985539689430983,0.5,0.3350316767598904,0.6589343067776218,0.7310585786300049,0.9037844582893072
LtrA-RT,0.0008185749878654777,1.0,Low global pLDDT,0.008594481605351171,0.008629390681003586,0.0,0.0,0.0,0.6631263308189143,0.61145,0.7092472609923879,0.3299462670223846,0.4076497137220777,0.5110364355188154,Likely steric incompatibility with Cas9 context,0.22767645423409402,0.1376540782359618,0.7623273051247415,1.0,1.0,0.4172697811691721,0.5,0.1441643587145581,0.6223491086391008,0.8636361664267045,,1.0,0.9579794147448828,0.8472532728536663,0.13215362884087864,0.6224395588757463,0.8972159750827483,0.9037844582893072,0.327039677655237,0.8589102472964324,1.0,,1.0,1.0,0.864537513696563,0.7037715740459195,0.590264566547224,1.0,0.48098437322250254,0.5470168013296794,No confident processive contact path,0.35,0.9579794147448828,0.13215362884087864,0.753296108003049,0.5,0.427154684988411,0.8472532728536663,0.8972159750827483,0.9037844582893072
Tel4c-RT,0.0008756359617160742,1.0,Low global pLDDT,0.008672370766488413,0.00890806142034549,0.0,0.0,0.0,0.6454115790977798,0.95095,0.8302639388812637,0.4348199977682662,0.5200828014220983,0.5499106883205613,Poor linker geometry to Cas9 anchor,0.6805972750510992,0.1506267018321262,0.8013452535571821,0.28261886169346584,1.0,0.93549820313339,0.5,0.24767079789293714,0.5290178396248725,0.8509582946146309,,1.0,0.9865247445361236,0.7846704171318205,0.06572878061629853,0.5548853927396641,0.7625419716560975,0.9037844582893072,0.19760484840333878,0.8729524115801764,0.9972408229794453,,1.0,0.9915102245521396,0.7423413493752159,0.9450874971502057,0.5333488445464155,1.0,0.4102853801337886,0.5231869787606245,No confident processive contact path,0.35,0.9865247445361236,0.06572878061629853,0.6974442435235091,0.5,0.38359573674043024,0.7846704171318205,0.7625419716560975,0.9037844582893072
