model,loo_f1,loo_auc,rand5_f1,rand5_auc,train_f1,train_auc
hand_all|family=0|et,0.8095238095238095,0.8465608465608465,0.8095238095238095,0.8538359788359788,1.0,1.0
hand_all|family=1|et,0.8095238095238095,0.8267195767195767,0.8095238095238095,0.8412698412698412,1.0,1.0
hand_foldseek|family=0|lr,0.7755102040816326,0.9074074074074074,0.7916666666666667,0.8849206349206349,0.9333333333333333,0.9947089947089947
hand_foldseek|family=1|lr,0.7755102040816326,0.9021164021164021,0.7916666666666667,0.8756613756613757,0.9333333333333333,0.996031746031746
hand_all|family=0|lr,0.7599999999999999,0.9312169312169312,0.7916666666666667,0.9087301587301587,1.0,1.0
hand_all|family=1|lr,0.7599999999999999,0.9312169312169312,0.782608695652174,0.9034391534391535,1.0,1.0
hand_all|family=0|rf,0.7500000000000001,0.8518518518518519,0.7692307692307692,0.8458994708994709,1.0,1.0
hand_all|family=1|rf,0.7500000000000001,0.8544973544973545,0.7692307692307692,0.8306878306878307,1.0,1.0
hand_foldseek|family=0|rf,0.6842105263157895,0.832010582010582,0.7,0.8293650793650794,1.0,1.0
hand_foldseek|family=1|et,0.6500000000000001,0.83994708994709,0.6842105263157895,0.8551587301587302,1.0,1.0
hand_foldseek|family=1|rf,0.6486486486486486,0.83994708994709,0.6666666666666666,0.828042328042328,1.0,1.0
full_plus_esm|family=0|et,0.7317073170731706,0.7883597883597884,0.6500000000000001,0.7969576719576719,1.0,1.0
full_plus_esm|family=0|lr,0.64,0.7526455026455026,0.6382978723404256,0.7698412698412698,1.0,1.0
full_plus_esm|family=1|lr,0.64,0.753968253968254,0.6382978723404256,0.7698412698412698,1.0,1.0
full_plus_esm|family=1|et,0.7,0.7936507936507937,0.6341463414634146,0.7976190476190478,1.0,1.0
hand_foldseek|family=0|et,0.5789473684210527,0.8373015873015873,0.5789473684210527,0.8412698412698413,1.0,1.0
full_plus_esm|family=1|rf,0.5641025641025642,0.7652116402116402,0.5405405405405405,0.7294973544973545,1.0,1.0
full_plus_esm|family=0|rf,0.5500000000000002,0.7645502645502645,0.5,0.7334656084656085,1.0,1.0
