rt_name,foldability_score,foldability_confidence,foldability_failure_reason,foldability_plddt_mean,foldability_plddt_core,foldability_high_conf_frac,foldability_low_conf_frac,foldability_longest_conf_segment,foldability_contact_density,foldability_thermo_37,foldability_solubility,foldability_instability,fusion_compat_score,fusion_compat_confidence,fusion_compat_failure_reason,fusion_compat_clash_score,fusion_compat_alignment_quality,fusion_compat_active_site_access,fusion_compat_linker_feasibility,fusion_compat_size_penalty,substrate_binding_score,substrate_binding_confidence,substrate_binding_failure_reason,substrate_binding_patch_detected,substrate_binding_patch_positive_density,substrate_binding_patch_exposure,substrate_binding_patch_size,substrate_binding_patch_contiguity,substrate_binding_active_site_proximity,catalytic_score,catalytic_confidence,catalytic_failure_reason,catalytic_acidic_cluster_detected,catalytic_acidic_cluster_compactness,catalytic_acidic_cluster_exposure,catalytic_catalytic_neighborhood,catalytic_motif_context,catalytic_esm_if_quality,processivity_score,processivity_confidence,processivity_failure_reason,processivity_path_detected,processivity_path_positive_density,processivity_path_extension,processivity_path_catalytic_proximity,processivity_thumb_support,processivity_structural_sim
A.platensis-Cas1-RT,0.0008619333930501357,1.0,Low global pLDDT,0.009122302158273381,0.009268067226890754,0.0,0.0,0.0,0.656442816251378,0.85365,0.5689332093695465,0.4587977796306609,0.24899164127331824,0.5798436610041139,Likely steric incompatibility with Cas9 context,0.08330494315920789,0.12694930639557458,0.6726040107590365,0.47471967370494433,1.0,0.888168209058541,0.9454059751685254,,1.0,0.9968587867151706,0.8320183851339245,0.9706877692486436,0.8411308951190848,0.7026653521833783,0.8222897168481887,1.0,,1.0,1.0,0.5962207137466882,0.9497420920771945,0.5423308290146092,0.8127534223932048,0.6208625361918247,0.7789912613598848,,1.0,0.927124363403659,0.31997311187656846,0.8898558573236593,0.46082081194411756,0.5
CRISPRRT2-RT,0.0007500335561527124,1.0,Low global pLDDT,0.009166457680250782,0.009319354838709677,0.0,0.0,0.0,0.6388861334915511,0.1671,0.6303596444943332,0.7388741998015746,0.3152594767673365,0.5735681832744869,Likely steric incompatibility with Cas9 context,0.2672982645025687,0.1422766438044773,0.6393467369797712,0.14636446338630377,1.0,0.6848326948091059,0.62625,No confident active-site-adjacent electropositive patch,0.35,0.9968587867151706,0.5,0.9706877692486436,0.8411308951190848,0.7003364562579775,0.8058429524518969,1.0,,1.0,1.0,0.6899744811276124,0.7791621283229098,0.41151908741475385,0.97094003720001,0.779429369199523,0.9502743852760636,,1.0,0.8765329524347759,0.8469981085417342,0.8887644624205312,0.7167146063192048,0.5
FuRT-Cas1-RT,0.000841968503239364,1.0,Low global pLDDT,0.009632499999999999,0.009725000000000001,0.0,0.0,0.0,0.641834045088731,0.54425,0.7337979282524816,0.38502066281625086,0.21314919929293763,0.4747452580441669,Likely steric incompatibility with Cas9 context,0.09202124440450293,0.10405958097860762,0.3952125848618693,0.39520198485502855,1.0,0.6938578623280861,0.62625,No confident active-site-adjacent electropositive patch,0.35,0.9968587867151706,0.5,0.9706877692486436,0.8411308951190848,0.7477163434081825,0.710695191224336,1.0,,1.0,1.0,0.6461206356285277,0.8761865152754558,0.15,0.6837890731149445,0.7624586444429401,0.9065541805346613,,1.0,0.9346246665744273,0.7124744016451116,0.9673535990197987,0.6295526147503073,0.5
Med-CasRT,0.0005901585640056853,1.0,Low global pLDDT,0.008797749196141479,0.009031734317343172,0.0,0.0,0.0,0.6258536328088226,0.017705,0.7790231813106007,0.5110753584939394,0.15755893375073832,0.5344683228069131,Likely steric incompatibility with Cas9 context,0.02058074787206201,0.13441086485126652,0.535498628882771,0.810051352472765,1.0,0.8694572835088262,0.9247705546371806,,1.0,0.9968587867151706,0.7685247834990175,0.9706877692486436,0.8411308951190848,0.6838938756861608,0.765091988221014,1.0,,1.0,1.0,0.8912165801050141,0.5122459331201855,0.5307902351378996,0.6212838497778467,0.6876180394655261,0.8901388835127299,,1.0,0.6130141761393355,0.6619657954237843,0.9499735762508582,0.619945034860864,0.5
ROSE-CRISPR-RT,0.0007368773305026655,1.0,Low global pLDDT,0.008078699551569505,0.007980295566502463,0.0,0.0,0.0,0.6059914514454416,0.2519,0.7674303542657058,0.40643517855872824,0.2978785838634247,0.4806168761395714,Likely steric incompatibility with Cas9 context,0.1441316099580324,0.15978888380150064,0.3562593337401319,1.0,1.0,0.8671568648102266,0.899241706366474,,1.0,0.9968587867151706,0.6899744811276125,0.9525741268224334,0.7310585786300049,0.7822286025157688,0.7299876530565053,1.0,,1.0,1.0,0.6739976220871791,0.9241418199787566,0.15,0.7383629742281128,0.6089747144625604,0.9778705595904531,No confident processive contact path,1.0,0.9865247445361236,0.9319094141244713,0.12204076124701496,0.7786313220024099,0.5
Er-RT,0.0007510405796453744,1.0,Low global pLDDT,0.008649530516431926,0.008642487046632124,0.0,0.0,0.0,0.6727517375193818,0.17975,0.7084334825823263,0.7646180054483351,0.31692314864764387,0.5133732330277637,Likely steric incompatibility with Cas9 context,0.309080343154965,0.1918940743675646,0.4177437342831889,0.16278524651411072,1.0,0.8353916382105296,0.8827714376350504,,1.0,0.9968587867151706,0.6392967311847706,0.8807970779778823,0.5825702064623147,0.7561069492810341,0.841398699406965,1.0,,1.0,1.0,0.7609964331307685,0.8761865152754558,0.4,1.0,0.735665332103055,0.969969627059536,,1.0,0.8765329524347759,0.9075988524908801,0.5391698121909269,0.7412251954885346,0.5
GroupII_CLA-RT,0.0007546217332338324,1.0,Low global pLDDT,0.009156535947712418,0.009365413533834587,0.0,0.0,0.0,0.6687671585769396,0.1978,0.7250662758276039,0.4041492725057777,0.12053522093098884,0.5251442061157401,Likely steric incompatibility with Cas9 context,0.012740543134289855,0.1305030669407005,0.5127660933899856,0.4604350447194364,1.0,0.8222807119342989,0.9247705546371806,,1.0,0.9968587867151706,0.7685247834990175,0.9525741268224334,0.7310585786300049,0.5384198055985049,0.693472176476243,0.7725,Catalytic cluster geometry not convincing,0.3,1.0,0.7685247834990175,0.8139849721275887,0.4000000072630264,1.0,0.8015737736129557,0.9711883760705593,,1.0,0.8765329524347759,0.9113488494478748,0.8674704832237597,0.8495855745857744,0.5
Gs-RT,0.000873832552970247,1.0,Low global pLDDT,0.008649530516431926,0.008642487046632124,0.0,0.0,0.0,0.6727517375193818,0.9183,0.7891732213261415,0.485809301322863,0.31692314864764387,0.5133732330277637,Likely steric incompatibility with Cas9 context,0.309080343154965,0.1918940743675646,0.4177437342831889,0.16278524651411072,1.0,0.8353916382105296,0.8827714376350504,,1.0,0.9968587867151706,0.6392967311847706,0.8807970779778823,0.5825702064623147,0.7561069492810341,0.841398699406965,1.0,,1.0,1.0,0.7609964331307685,0.8761865152754558,0.4,1.0,0.735665332103055,0.969969627059536,,1.0,0.8765329524347759,0.9075988524908801,0.5391698121909269,0.7412251954885346,0.5
LtrA-RT,0.0008185749878654777,1.0,Low global pLDDT,0.008594481605351171,0.008629390681003586,0.0,0.0,0.0,0.6631263308189143,0.61145,0.7092472609923879,0.3299462670223846,0.4134424571236133,0.6149934841762461,Likely steric incompatibility with Cas9 context,0.22767645423409402,0.1376540782359618,0.7623273051247415,1.0,1.0,0.9101169559651058,0.9454059751685254,,1.0,0.9968587867151706,0.8320183851339245,0.9706877692486436,0.8411308951190848,0.7938865551503587,0.8589102472964324,1.0,,1.0,1.0,0.864537513696563,0.7037715740459195,0.590264566547224,1.0,0.7269041087706252,0.8938805707709648,,1.0,0.9346246665744273,0.6734786792952765,0.7308111382846997,0.6655816053227085,0.5
Tel4c-RT,0.0008756359617160742,1.0,Low global pLDDT,0.008672370766488413,0.00890806142034549,0.0,0.0,0.0,0.6454115790977798,0.95095,0.8302639388812637,0.4348199977682662,0.515029322540501,0.633190184386258,Poor linker geometry to Cas9 anchor,0.6805972750510992,0.1506267018321262,0.8013452535571821,0.28261886169346584,1.0,0.8919533541550744,0.9454059751685254,,1.0,0.9968587867151706,0.8320183851339245,0.9525741268224334,0.7310585786300049,0.7468892005630674,0.8729524115801764,0.9972408229794453,,1.0,0.9915102245521396,0.7423413493752159,0.9450874971502057,0.5333488445464155,1.0,0.7588357539183052,0.8643742513238464,,1.0,0.9830434644897993,0.5826900040733735,0.9999975191467567,0.7718250750332766,0.5
