model,split,f1_pos,auc,informative_macro_f1,retroviral_tp,tp,fp,fn,tn
hand_lr,LOFO,0.5555555555555556,0.7923280423280423,0.6880952380952381,2,10,5,11,31
hand_family_rf,LOFO,0.5517241379310345,0.712962962962963,0.675595238095238,2,8,0,13,36
esm_family_lr,LOFO,0.5,0.6878306878306879,0.44999999999999996,8,11,12,10,24
hand_family_lr,LOFO,0.4736842105263158,0.8055555555555556,0.6002747252747253,2,9,8,12,28
hand_family_lr,LOO,0.7599999999999999,0.9312169312169312,0.8282467532467532,11,19,10,2,26
hand_family_rf,LOO,0.7500000000000001,0.8564814814814815,0.7841666666666666,9,15,4,6,32
hand_lr,LOO,0.7346938775510204,0.9034391534391535,0.789655172413793,11,18,10,3,26
esm_family_lr,LOO,0.5833333333333334,0.7010582010582009,0.5810185185185185,10,14,13,7,23
hand_family_lr,Random5Fold,0.782608695652174,0.9034391534391535,0.780952380952381,12,18,7,3,29
hand_family_rf,Random5Fold,0.7692307692307692,0.8366402116402116,0.7916666666666666,9,15,3,6,33
hand_lr,Random5Fold,0.7659574468085107,0.8888888888888888,0.7392857142857143,12,18,8,3,28
esm_family_lr,Random5Fold,0.5833333333333334,0.7208994708994709,0.5393518518518519,10,14,13,7,23
hand_family_lr,TrainOnTrain,1.0,1.0,1.0,12,21,0,0,36
hand_family_rf,TrainOnTrain,1.0,1.0,1.0,12,21,0,0,36
hand_lr,TrainOnTrain,0.9545454545454545,1.0,0.9807692307692307,12,21,2,0,34
esm_family_lr,TrainOnTrain,0.9333333333333333,0.9986772486772486,0.9722222222222222,12,21,3,0,33
